Reward,Length,t,Episode,Loss
0.0,7,13.220982,312,
0.0,9,13.28812,313,
0.0,16,13.302486,314,
0.0,5,13.318655,315,
0.0,100,13.339204,316,
0.0,57,13.339204,317,
0.0,41,13.427372,318,
0.0,34,13.427372,319,
0.0,58,13.439409,320,
0.0,98,13.439409,321,
0.0,8,13.455315,322,
0.0,25,13.465496,323,
0.0,23,13.498148,324,
0.0,7,13.547417,325,
0.0,38,13.649358,326,
0.0,13,13.673797,327,
0.0,45,13.70711,328,
0.0,21,13.716793,329,
0.0,11,13.749051,330,
0.0,16,13.897044,331,
0.0,25,13.897044,332,
0.0,57,13.925848,333,
0.0,53,13.925848,334,
0.0,52,13.956557,335,
0.0,34,13.966189,336,
0.0,64,13.997307,337,
0.0,8,14.060876,338,
0.0,19,14.064025,339,
0.0,45,14.071331,340,
0.0,31,14.120606,341,
0.0,25,14.151284,342,
0.0,13,14.169483,343,
0.0,40,14.181829,344,
0.0,19,14.262677,345,
0.0,34,14.333555,346,
0.0,21,14.333555,347,
0.0,10,14.350886,348,
0.0,64,14.446317,349,
0.0,21,14.522607,350,
0.0,22,14.522607,351,
0.0,76,14.528361,352,
0.0,47,14.548885,353,
0.0,7,14.559232,354,
0.0,29,14.59648,355,
0.0,19,14.612901,356,
0.0,72,14.631274,357,
0.0,11,14.662277,358,
0.0,58,14.672524,359,
0.0,12,14.700486,360,
0.0,31,14.764744,361,
0.0,24,14.826894,362,
0.0,38,14.834811,363,
0.0,43,14.855456,364,
0.0,6,14.855456,365,
0.0,27,14.855456,366,
0.0,19,14.895401,367,
0.0,13,14.950223,368,
0.0,49,15.065902,369,
0.0,13,15.084144,370,
0.0,29,15.112225,371,
0.0,53,15.122467,372,
0.0,11,15.183543,373,
0.0,42,15.199991,374,
0.0,17,15.210237,375,
0.0,12,15.290441,376,
0.0,86,15.326665,377,
0.0,16,15.33934,378,
0.0,29,15.363696,379,
0.0,12,15.394534,380,
0.0,26,15.40458,381,
0.0,16,15.44629,382,
0.0,50,15.511391,383,
0.0,33,15.528439,384,
0.0,7,15.569781,385,
0.0,8,15.58973,386,
0.0,89,15.62575,387,
0.0,100,15.650581,388,
0.0,37,15.672779,389,
0.0,13,15.693347,390,
0.0,7,15.731203,391,
0.0,17,15.837311,392,
0.0,23,15.84705,393,
0.0,57,15.872256,394,
0.0,53,15.877429,395,
0.0,69,15.89576,396,
0.0,9,15.925849,397,
0.0,46,15.96665,398,
0.0,17,16.003954,399,
0.0,65,16.179987,400,
